transaction_id,store_id,timestamp,item_id,item_category,quantity,unit_price,revenue,payment_method,customer_id
BDIVUZZPQK51,S006,10/16/2024 15:23,ITEM00160,Clothing,1,295.66,295.66,Transfer,dnmmjbqe
3W5UZBIKCIDK,S012,10/16/2024 5:55,ITEM00215,Sports,1,276.47,276.47,Transfer,zycwtiqj
L1C32OC6UZHR,S015,10/16/2024 5:12,ITEM00253,Sports,5,110.59,552.95,Transfer,0pvn9er1
2PCN9T84AZYT,S009,10/16/2024 23:20,ITEM00301,Toys,2,314.1,628.2,Card,q85jsg65
F1T2TALA753L,S002,10/16/2024 8:46,ITEM00970,Electronics,5,304.88,1524.4,Cash,039tex8f
HT0HL9XPSEIM,S019,10/16/2024 20:10,ITEM00226,Electronics,5,212.15,1060.75,Cash,zccblskr
IRODXMO5BXXC,S011,10/16/2024 3:58,ITEM00195,Groceries,5,288.53,1442.65,Mobile,fgq5c34d
874FRHOCN9J2,S015,10/16/2024 10:23,ITEM00981,Sports,5,418.18,2090.9,Mobile,fk8ut0cv
8CGVYIE6IVWP,S019,10/16/2024 20:34,ITEM00958,Home,5,79.56,N/A,Card,yljexq77
EMCIKPTK93TY,S018,10/16/2024 10:54,ITEM00107,Clothing,2,253.44,506.88,Transfer,edtjvzhw
6BW3BME9FPZU,S004,10/16/2024 2:44,ITEM00708,Clothing,4,126.31,505.24,Cash,4ufel624
YMU5907IF2GO,S006,16-10-24 12:05,ITEM00422,Sports,2,341.35,682.7,Card,j2d54i3q
XOKC1MSY4LA5,S009,10/16/2024 6:30,ITEM00272,Electronics,2,112.24,224.48,Cash,vm2p9e6g
7TZ0YNCXLL4Z,S010,10/16/2024 18:27,ITEM00419,Home,4,1.84,7.36,Mobile,ztgxn0gu
H2VLPYS280XK,S020,10/16/2024 12:12,ITEM00975,Clothing,1,152.63,152.63,Transfer,ihair4co
NOFY6452H2ZQ,S018,10/16/2024 9:04,ITEM00125,Toys,2,359.45,718.9,Card,2y9v86wz
F5Q14J1RIPZI,S011,10/16/2024 11:38,ITEM00083,Clothing,5,223.51,1117.55,Card,iyzcotoh
A5UR7KO64T02,S008,10/16/2024 17:46,ITEM00447,Toys,5,473.08,2365.4,Cash,ny20479t
AXEQBNHL1N13,S009,10/16/2024 2:58,ITEM00768,Groceries,5,$282.63 ,"$1,413.15 ",Cash,9mx2x18h
E8QJNV8Z2FLU,S010,10/16/2024 08:57PM,ITEM00982,Toys,2,237.31,474.62,Mobile,7hv3izky
MPNSM43D8W3Z,S014,10/16/2024 06:24AM,ITEM00989,Sports,5,391.54,1957.7,Transfer,w71q3vli
IQVNB4GH2M5Z,S009,10/16/2024 20:14,ITEM00971,Clothing,3,440.93,1322.79,Cash,iotirzqa
LURTP0LZJJEG,S004,2024-10-16T19:30:36,ITEM00707,Clothing,4,346.2,1384.8,Card,hr09skdg
ZEBBK7W1DAKR,S011,2024-10-16T06:42:44,ITEM00259,Toys,2,151.83,303.66,Cash,3ocwbfuk
OVW1N6KVPUC8,S004,10/16/2024 07:33AM,ITEM00271,Sports,1,279.48,279.48,Cash,fgcaqvki
IJ2V2HEIFJFC,S010,10/16/2024 09:39PM,ITEM00583,Home,4,36.52,146.08,Mobile,eyz7srcb
AIY4VA13U1GS,S015,10/16/2024 10:07,ITEM00600,Toys,3,302.25,906.75,Mobile,8qoldfor
TQLL8OS9XTOG,S012,16-10-24 22:40,ITEM00641,Toys,4,406.97,1627.88,Cash,ht7pze9v
AOI4E8XF7KZO,S016,10/16/2024 17:11,ITEM00565,Clothing,2,156.06,312.12,Mobile,gv0ec14m
KKV9RFTMTTQL,S007,10/16/2024 8:41,ITEM00240,Toys,3,410.45,1231.35,Cash,lr6n92xf
V55PSQ0OXFQ8,S011,10/16/2024 10:41PM,ITEM00666,Electronics,2,251.64,503.28,Transfer,44nlz15b
0PDW5PY6B2KN,S005,10/16/2024 8:53,ITEM00580,Sports,3,498.72,1496.16,Card,gc5wi6fq
6QKTC89K8YQK,S013,10/16/2024 17:35,ITEM00391,Groceries,3,333.75,1001.25,Transfer,u9k9xjuy
0361I2HGJ11Y,S005,10/16/2024 22:52,ITEM00643,Sports,1,455.4,455.4,Cash,lpu0dk0g
NSJF678K52QC,S008,2024-10-16T14:28:09,ITEM00824,Groceries,5,438.35,2191.75,Transfer,dojen0jn
IA5U6HC36KOF,S002,2024-10-16T11:04:53,ITEM00119,Electronics,3,55.06,165.18,Card,5eqy08p0
4W7KYHQIN9N6,S012,10/16/2024 2:12,ITEM00195,Electronics,4,327.81,1311.24,Mobile,dhx8bm92
H5LF6A4FEJGX,S001,10/16/2024 4:47,ITEM00809,Clothing,5,104.37,521.85,Transfer,ajepecqn
8B25SQ8CROYR,S015,10/16/2024 2:40,ITEM00330,Groceries,4,252.42,1009.68,Card,cjwtl9tq
EX5T5P5O3O0L,S011,10/16/2024 9:16,ITEM00157,Sports,1,396.75,396.75,Mobile,c3dd03uv
O57P6BKLDSFR,S004,16-10-24 12:44,ITEM00377,Electronics,3,335.34,1006.02,Transfer,u3493wxa
J17MGFXC08DT,S013,10/16/2024 15:17,ITEM00162,Home,3,15.45,46.35,Transfer,z1udbfwy
PJ1EPKYRYBOV,S001,10/16/2024 7:26,ITEM00217,Clothing,4,243.35,973.4,Transfer,kerpetiu
5BA75UUZPEAL,S020,16-10-24 16:45,ITEM00942,Home,3,36.97,110.91,Cash,pdpoc50h
ES6M033IFHV1,S003,2024-10-16T06:26:58,ITEM00644,Toys,1,255.73,255.73,Mobile,11q7uww5
QW2VMCQBNKX9,S003,10/16/2024 22:23,ITEM00394,Toys,2,220.44,440.88,Cash,q3xlrfcd
DXBZ9SVN7N1Y,S002,10/16/2024 10:58PM,ITEM00068,Home,3,491.21,1473.63,Cash,unj48vfc
XXEZDUXLEZ89,S017,10/16/2024 03:24AM,ITEM00434,Groceries,3,155.81,467.43,Transfer,al8m1g9f
T0SX5WVFGYW6,S015,10/16/2024 1:35,ITEM00693,Sports,1,254.34,254.34,Card,8v12ii82
89QKNS832EJX,S012,10/16/2024 20:11,ITEM00729,Groceries,2,184.55,369.1,Cash,k1j6fp8h
OONNCILDZMFB,S016,16-10-24 05:03,ITEM00481,Toys,3,465.31,1395.93,Cash,6ahf7vp1
P2QD6VASIFPW,S008,10/16/2024 20:46,ITEM00681,Sports,1,24.83,24.83,Cash,sm8t2sa5
JA2M0W10LBT3,S006,2024-10-16T16:54:59,ITEM00491,Sports,4,490.54,1962.16,Card,3c1qkbhb
3RBXK5BXJ2PO,S015,10/16/2024 14:04,ITEM00192,Toys,5,199.71,998.55,Mobile,n2jcpp9g
XLVPYMB5M9J9,S002,10/16/2024 02:43AM,ITEM00416,Home,1,40.95,40.95,Card,8fv2bc2n
FQNPCENLK8AG,S017,10/16/2024 14:05,ITEM00121,Home,5,17.16,85.8,Transfer,zhwy9hec
389YZTKKFZZG,S012,10/16/2024 18:31,ITEM00206,Clothing,4,498.63,1994.52,Card,2atn2twd
13C9XQYM52XG,S005,10/16/2024 15:45,ITEM00890,Electronics,4,263.32,1053.28,Cash,skf7i8sk
TEKTSG7FXZV4,S019,16-10-24 01:29,ITEM00030,Electronics,2,317.89,635.78,Cash,81jhuwb6
