item_id,revenue,store_id,transaction_id,discount_code,customer_id,item_category,quantity,payment_method,timestamp,unit_price
ITEM00114,1905.96,S014,UDLQII1EJ4PU,,lrf3tf14,Clothing,4,Mobile,2024/12/07 16:21:24,476.49
ITEM00897,1517.24,S012,W4S6FUYC5ATD,,qizkqoel,Home,4,Card,07-12-24 20:23,379.31
ITEM00153,47.52,S015,3PWJT7D0AC0B,,bp8b1vfo,Clothing,4,Cash,2024-12-07 13:27:23,11.88
ITEM00658,733.52,S012,S60KQHJ9ZU0F,,y3o3lj0n,Groceries,2,Mobile,07-12-24 04:11,366.76
ITEM00710,1673.28,S019,Z78IY664L90F,,elzawr7z,Toys,4,Mobile,07-12-24 02:00,418.32
ITEM00724,351.50,S005,8CKHDY4QF1AD,,dp0lo2k9,Sports,2,Mobile,2024-12-07 16:18:24,175.75
ITEM00074,1803.15,S012,7YHTD6OO7G5B,,ullp5ep3,Toys,5,Card,2024-12-07 11:21:35,360.63
ITEM00719,1977.72,S003,S9BHWO6L2MXG,,i5f1b3pp,Groceries,4,Mobile,2024-12-07 08:38:57,494.43
ITEM00478;431.88;S017;AIWJWXYOUHIF;;n6i8blie;Groceries;3;Cash;2024/12/07 15:48:49;143.96
ITEM00980,1715.08,S016,16UKLNOLBA0X,,bor2keg7,Clothing,4,Transfer,2024-12-07 00:18:20,428.77
ITEM00975,1475.35,S003,X7LOFOLANGXC,,zn5h5jmc,Groceries,5,Mobile,07-12-24 17:34,295.07
ITEM00386,1606.04,S003,J53MXYWRYE7P,,fz61i3ey,Electronics,4,Transfer,2024-12-07 14:26:37,401.51
ITEM00459,82.08,S020,YD9DTDUPWTB4,,36sr7i0s,Home,,Cash,2024-12-07 23:58:04,20.52
ITEM00531,109.30,S008,EAHZA9T0Z6M9,,3vbgdico,Sports,5,Mobile,2024-12-07T12:25:31,21.86
ITEM00195,628.77,S012,68C656831FEZ,,b3jsu4vy,Toys,3,Card,2024-12-07 20:36:24,209.59
ITEM00872,423.77,S014,N5FIC40N8MZ5,,hkumcisy,Groceries,1,Cash,2024-12-07 14:13:35,423.77
ITEM00395,199.57,S009,MTF075G514A9,,7o6yu37n,Home,1,Cash,2024/12/07 20:07:08,199.57
ITEM00579,995.15,S016,SALSUL8SNW74,,vawnwgxv,Groceries,5,Cash,2024-12-07 18:44:56,199.03
ITEM00856,873.44,S011,FITCGM6EH0Z9,,f874esdq,Groceries,4,Cash,2024-12-07T23:06:41,218.36
ITEM00032,210.83,S010,UN6EN1KQ1YJ9,,giz3pxpq,Sports,1,Card,12/07/2024 08:58AM,210.83
