transaction_id,store_id,timestamp,item_id,item_category,quantity,unit_price,revenue,payment_method
UGR1M1EAVIRI;S019;12-06-25 17:11;ITEM00171;Groceries;5;173.0;865.0;Cash
L15XP894LB2V,S008,12-06-25 23:54,ITEM00974,Electronics,2,478.19,956.38,Transfer
7FLUGC8NKM9L,S005,12-06-25 01:54,ITEM00201,Clothing,3,456.62,1369.86,Card
ER5REDDJOT30,S018,2025-06-12T05:03:38,ITEM00115,Sports,1,437.73,437.73,Card
RHWFGGAKTMD9,S003,2025-06-12 14:39:52,ITEM00529,Sports,2,245.17,490.34,Mobile
YGGK5298RGT8,S003,06/12/2025 12:45PM,ITEM00918,Sports,5,36.36,181.80,Transfer
7MK624NTAZGL,S008,2025-06-12 09:13:50,ITEM00851,Clothing,1,221.76,221.76,Mobile
L1R25NBS1QXF,S007,2025-06-12 23:53:55,ITEM00593,Clothing,1,167.19,167.19,Cash
GBO02I89BNEO,S016,2025-06-12 00:39:45,ITEM00855,Home,4,318.00,1272.00,Card
27JKJWRCX2RC,S015,06/12/2025 08:56PM,ITEM00931,Groceries,3,168.39,505.17,Cash
8T09YLI6B5H5,S004,06/12/2025 12:57PM,ITEM00612,Toys,3,489.15,1467.45,Card
VKJ3E50CIIVA,S002,2025-06-12 13:38:45,ITEM00129,Clothing,4,451.20,1804.80,Mobile
OH6GLAF48QSZ,S016,06/12/2025 10:54PM,ITEM00757,Clothing,3,319.66,958.98,Card
QLNUV5LNGC6D,S004,2025/06/12 02:43:00,ITEM00191,Clothing,4,492.94,1971.76,Cash
4ZOH25ESAI4I,S019,12-06-25 15:27,ITEM00446,Groceries,1,372.91,372.91,Mobile
FDRLF9IOJBMZ,S002,2025-06-12 02:50:17,ITEM00526,Electronics,5,122.39,611.95,Cash
WP7M3LIOXM5L,S006,12-06-25 02:27,ITEM00701,Electronics,3,143.56,430.68,Transfer
ATD7BWS35G9Z,S014,06/12/2025 03:11AM,ITEM00721,Groceries,1,197.25,197.25,Cash
Z2S5231KMVOS,S003,2025-06-12 19:59:24,ITEM00174,Home,2,465.78,931.56,Card
NY5TNWFMRVPN,S011,12-06-25 23:23,ITEM00426,Clothing,3,318.69,956.07,Card
31G1BBFYV6WX,S012,2025-06-12 05:40:28,ITEM00512,Electronics,3,114.36,343.08,Mobile
HO8MDLLJ0O7W,S016,2025-06-12 08:20:44,ITEM00211,Sports,4,294.18,1176.72,Cash
YXBXAGRXJKB4,S018,2025-06-12 20:28:53,ITEM00915,Electronics,2,424.09,848.18,Mobile
CRFI0QE8ZZ32,S017,2025-06-12 16:23:54,ITEM00911,Home,3,124.66,373.98,Transfer

A3E2WMIAMGCD,S009,06/12/2025 07:38AM,ITEM00322,Toys,2,452.05,904.10,Transfer
3PRESCJ8CFA0,S003,2025-06-12 14:25:41,ITEM00833,Home,3,172.72,518.16,Card
H4SDH7F1OYP6;S006;06/12/2025 02:26AM;ITEM00840;Toys;5;289.53;1447.65;Cash
V4AVG874AVUS,S006,2025-06-12 22:54:16,ITEM00484,Sports,4,387.33,1549.32,Transfer
VE0DRPIGMWC5,S008,2025-06-12 13:49:06,ITEM00561,Toys,1,48.15,48.15,Transfer
WRC2V4JPLNW6,S003,12-06-25 23:10,ITEM00374,Sports,1,383.75,383.75,Transfer
9JROI7BUAT7K,S007,2025-06-12T14:37:18,ITEM00128,Toys,2,35.54,71.08,Cash
7FKN1HSIKPPD,S010,12-06-25 22:41,ITEM00233,Groceries,4,395.46,1581.84,Mobile
YNTAWYOGE6CT,S004,12-06-25 01:58,ITEM00151,Home,3,138.62,415.86,Cash
P0Y4Y27TJV1N,S003,2025-06-12 10:52:13,ITEM00251,Groceries,2,384.25,768.50,Mobile
4UN9RPXXEV86,S014,2025-06-12T20:36:15,ITEM00168,Home,2,253.70,507.40,Mobile
AGUYSIHX23XX,S003,2025-06-12 11:11:44,ITEM00783,Sports,1,355.54,355.54,Mobile
RMFMYKITH44F,S006,2025-06-12T02:35:02,ITEM00060,Sports,1,140.63,140.63,Transfer
NE5PQN7F11NQ,S002,2025-06-12 04:00:04,ITEM00950,Sports,1,80.22,80.22,Mobile
D6MOOGA351W0,S010,2025-06-12 09:21:00,ITEM00341,Home,4,336.88,1347.52,Mobile
