quantity,payment_method,revenue,item_category,unit_price,customer_id,item_id,storeid,timestamp,transaction_id
1,Transfer,123.12,Clothing,123.12,ys0a9bpm,ITEM00981,S009,09/03/2025 06:28AM,L0TY92SNZAYB
5,Cash,629.00,Sports,125.80,r0l59k5h,ITEM00512,S006,2025-09-03T13:10:32,I3A2FIXRH9HA
2,Mobile,386.08,Home,193.04,wfg29w00,ITEM00674,S013,09/03/2025 09:20PM,5VEH3WIRG4XM
2,Cash,271.78,Clothing,135.89,typdn5as,ITEM00990,S002,2025-09-03 08:08:22,D7FCXHW7VPS7
5,Card,269.20,Electronics,53.84,6dbqhsh4,ITEM00166,S005,2025-09-03 02:51:28,BNO0OAZ0Q7QK
4,Mobile,369.72,Sports,92.43,gqlg5jfj,ITEM00414,S003,09/03/2025 04:28PM,EJHLIPPPG67P
5,Mobile,2493.00,Home,498.60,s5sboziq,ITEM00785,S016,2025-09-03 20:20:27,0626KUT5W3GT
4,Card,1274.08,Electronics,318.52,jiew4k93,ITEM00762,S013,2025-09-03 05:33:39,O4WY752I40CT
3,Card,1490.85,Sports,496.95,91qc41j2,ITEM00074,S020,2025/09/03 23:37:02,Y19ERTK1JDFE
5,Card,1958.30,Clothing,391.66,myh8wzmd,ITEM00410,S010,2025-09-03 09:20:11,LQGWLDB3RZN4
1,Mobile,373.61,Sports,373.61,shdti7le,ITEM00876,S003,2025-09-03 12:36:55,KUWQ2GPQ0JFF
4,Mobile,1226.24,Clothing,306.56,kjhqbeut,ITEM00879,S010,2025-09-03 21:32:11,H1IHQVYH5YNB
5,Card,1270.85,Home,254.17,axu5h2jw,ITEM00384,S012,09/03/2025 04:19AM,ZU6NCWORQZ7L
1,Cash,252.23,Electronics,252.23,6k7w7jpx,ITEM00378,S013,2025-09-03 11:04:58,QY38YKC5LH7K
1,Mobile,328.79,Groceries,328.79,phqocqgh,ITEM00597,S008,2025-09-03 23:11:15,E12KQM69NXPE
1,Mobile,362.21,Home,362.21,7d72g9hq,ITEM00964,S020,2025-09-03 16:34:33,OPLVG6CGMZ05
3,Mobile,1440.15,Sports,480.05,y669g1vv,ITEM00833,S009,03-09-25 12:50,WB8P8HN6R8TO
5,Mobile,2355.45,Groceries,471.09,zatc5jx4,ITEM00623,S002,09/03/2025 08:45AM,T1ET1SK3HB39
3,Card,832.89,Sports,277.63,wbdnh0cm,ITEM00447,S013,2025-09-03T15:07:02,O2YCS1RRO0XO
4,Card,1576.04,Clothing,394.01,xdmmnwx0,ITEM00959,S011,09/03/2025 09:56AM,UGYLLPB5D42Y
5,Transfer,1302.15,Home,260.43,p01k67b4,ITEM00367,S005,2025-09-03 06:30:29,T6JFRLRAOY3O
1,Cash,314.98,Clothing,314.98,3rymcj37,ITEM00158,S018,09/03/2025 06:03PM,UA12TYEVCKG6
1,Card,358.25,Electronics,358.25,0ip12gnv,ITEM00433,S007,2025-09-03 14:30:50,6TC5RQ9G7F02
4,Card,866.36,Clothing,216.59,yrcz9n4y,ITEM00746,S013,2025-09-03 00:26:04,P9EI7LEAP894
4,Mobile,729.56,Home,182.39,ij8gg5fl,ITEM00992,S014,2025-09-03 04:44:46,BQSDP6IGLLM1
2,Transfer,879.92,Sports,439.96,uccly9qg,ITEM00676,S017,2025-09-03 16:49:04,QEOW2XE3167E
4,Mobile,1860.24,Sports,465.06,1077scmo,ITEM00021,S003,09/03/2025 02:42PM,069QB0XE0H9X
2,Cash,555.76,Sports,277.88,evc8usao,ITEM00441,S017,2025-09-03 02:17:15,R8BZHQ0TLSPQ
5,Cash,1307.30,Electronics,261.46,fwolpmr1,ITEM00435,S019,2025-09-03 19:59:16,N6A7YLHBB3HD
5,Transfer,2101.15,Electronics,420.23,z9bm25wa,ITEM00804,S006,03-09-25 06:14,2LOSMN4YQQF9
4,Card,375.16,Electronics,93.79,s5zyeoui,ITEM00878,S004,2025/09/03 14:53:01,VREZKJJEUOFK
2,Transfer,104.50,Toys,52.25,lv7uelsz,ITEM00022,S003,2025-09-03 03:37:14,GZB1FKZY4TEE
1,Mobile,395.47,Sports,395.47,mf9me4bi,ITEM00985,S003,09/03/2025 06:12PM,XI9JZ4WNYIEX
4,Transfer,1974.28,Groceries,493.57,img05025,ITEM00227,S009,2025-09-03 14:28:10,6SS1PSTKWQUM
4,Card,1907.16,Electronics,476.79,zhtdxcx7,ITEM00973,S008,09/03/2025 01:19AM,T73BPUSI4AP1
5,Transfer,1215.20,Toys,243.04,7i1ikfhz,ITEM00820,S014,2025/09/03 02:04:02,K0CYO8NH2ABU
5,Transfer,1590.40,Home,318.08,aq71kqta,ITEM00270,S010,2025-09-03 19:57:43,JYAROCZLSV78
2,Mobile,640.18,Clothing,320.09,dbn3c2ur,ITEM00208,S014,2025/09/03 07:01:41,KE9IUCX001MN
2,Card,890.80,Home,445.40,b3vhwv56,ITEM00468,S018,2025-09-03 02:34:20,0F5AS6R2ZKH0
3,Transfer,352.68,Sports,117.56,dbf48xlo,ITEM00746,S005,2025-09-03 04:11:16,RHYF4QTNHUFP
4,Card,84.16,Sports,21.04,x3aqx7gc,ITEM00939,S010,2025-09-03 10:31:38,98GDDWOP43HB
2,Card,531.22,Toys,265.61,2df8gawl,ITEM00521,S006,2025-09-03 17:30:47,M8Y312ZZJZMV
4,Card,1400.40,Toys,350.10,t8o2n8ym,ITEM00353,S007,2025-09-03 09:22:41,NU8E028Y95C8
5,Transfer,72.55,Sports,14.51,78qjs56z,ITEM00802,S018,2025/09/03 22:04:14,EXT1PRTJX8NU
2,Transfer,418.26,Electronics,209.13,ezll9wsy,ITEM00926,S019,2025-09-03 07:16:12,GBOAQM0IMQ8X
3,Card,868.41,Toys,289.47,n7yez4js,ITEM00315,S013,03-09-25 13:27,4Z41E90P8QTD
1,Card,460.12,Clothing,460.12,hr3bdc0a,ITEM00688,S015,2025-09-03 23:27:13,FSSHKYIZ74RD
5,Mobile,2174.95,Electronics,434.99,hz9plpt5,ITEM00572,S006,2025/09/03 17:18:08,JKX35DTF2WEL
