transaction_id,storeid,timestamp,item_id,item_category,quantity,unit_price,revenue,payment_method,customer_id
HBHA9AIQVIJ7,S017,2025-10-18 19:29:08,ITEM00388,Groceries,3,343.39,1030.17,Transfer,4cgyjs1l
AGI1VTZ80OZ8,S008,2025-10-18T06:34:54,ITEM00338,Sports,5,357.01,1785.05,Card,s3ifqs2t
1FW9EPM9F07K,S017,10/18/2025 01:55PM,ITEM00772,Toys,4,338.22,1352.88,Card,45gclek3
ARTYUYX7R8J5,S006,18-10-25 07:42,ITEM00002,Toys,5,130.54,652.70,Cash,14x5hyz5
SWJUUY4S0I9M,S003,2025-10-18 04:34:27,ITEM00842,Clothing,5,198.42,992.10,Cash,930bo9lo
OWQO9FX62ZHZ,S006,2025-10-18 16:06:14,ITEM00903,Groceries,3,100.26,300.78,Mobile,c0ycdn96
OWR4QELTZ90Y,S020,18-10-25 23:49,ITEM00512,Sports,5,494.78,2473.90,Mobile,msqhch4p
8GGUG04NJF0J,S015,2025-10-18T13:32:04,ITEM00863,Groceries,4,409.59,1638.36,Mobile,swku0m7l
K05ERRFXLNQ3,S003,2025-10-18 20:08:03,ITEM00068,Sports,4,359.15,1436.60,Transfer,jccqajj3
O4C9HXA21YJ2,S006,10/18/2025 06:34AM,ITEM00084,Clothing,5,87.04,435.20,Mobile,enlns1s3
KV9ZWT1WT72B,S001,18-10-25 09:46,ITEM00657,Clothing,3,82.00,246.00,Cash,4dt3so58
CC078LDF86Q5,S016,2025-10-18 02:03:35,ITEM00843,Groceries,4,46.44,185.76,Transfer,flwi2blm
THLMK4EBUUA1,S010,2025-10-18 08:39:11,ITEM00475,Electronics,5,166.75,833.75,Mobile,9dy1d88x
15QG8A336NWG,S001,2025-10-18T00:05:37,ITEM00719,Toys,3,474.47,1423.41,Transfer,6mp76zhx
JYX7V4KROVL3;S017;10/18/2025 01:01PM;ITEM00646;Home;3;442.96;1328.88;Transfer;m7rj49k8
V6D96LI20SW7,S005,18-10-25 23:56,ITEM00486,Home,3,33.48,100.44,Transfer,3w9ef2q0
409RDQO9Y9BF,S008,2025-10-18 22:29:19,ITEM00022,Electronics,4,283.85,1135.40,Mobile,v94eh6yu
NFN10QRS2WRK,S018,2025/10/18 05:49:07,ITEM00729,Toys,1,462.15,462.15,Card,75ca4nx3
CGB9LPR1QUW1,S020,10/18/2025 08:35PM,ITEM00074,Electronics,5,360.15,1800.75,Transfer,a9yhbjia
AMSC9BCL9PUT,S012,10/18/2025 08:15AM,ITEM00028,Sports,5,73.24,366.20,Mobile,eng74lt9
Y5YNHRPSW1D3;S016;2025-10-18 23:14:57;ITEM00166;Sports;3;217.55;652.65;Mobile;dwcgy6dy
32OAG8CE7JLT,S003,2025-10-18 11:32:18,ITEM00453,Sports,4,223.40,893.60,Cash,w7cg0mxk
PIB0GK9UFMWC,S008,2025-10-18 15:48:01,ITEM00674,Electronics,3,210.47,631.41,Transfer,4p3iisyr
1L7BTK2W3IJC,S011,10/18/2025 10:09PM,ITEM00897,Home,2,388.83,777.66,Transfer,6a0u2lsr
OHG6GIP2NHD5,S004,2025-10-18 16:06:21,ITEM00796,Clothing,5,28.14,N/A,Mobile,0i6asy59
Q74SJZTXHTIR,S009,2025-10-18 16:57:07,ITEM00639,Clothing,3,123.57,370.71,Card,iwxnzk2q
ZXXXN039O899,S012,2025-10-18 00:21:19,ITEM00015,Groceries,5,305.52,1527.60,Card,wk31h1dn
JYPF8ZD7QVX5,S009,18-10-25 09:55,ITEM00184,Groceries,1,271.32,271.32,Transfer,dmgr1rwg
D0BG72PT3HIR,S002,2025-10-18 04:53:49,ITEM00687,Sports,4,317.87,1271.48,Transfer,c157ocbp
O023OYBFYF9W,S018,2025-10-18 12:34:58,ITEM00742,Clothing,5,134.71,673.55,Card,2hkm5wj3
3YZ28C43LYSO,S017,2025-10-18 11:16:58,ITEM00193,Clothing,3,193.49,580.47,Cash,ni7tqj67
QK6T0DVR8MMJ,S011,10/18/2025 02:42PM,ITEM00449,Home,2,323.40,646.80,Mobile,9gyw3ums
ECW4YH6XWNLN,S019,10/18/2025 09:54AM,ITEM00699,Clothing,1,239.83,239.83,Cash,2o5w3s9q
M3FN7NGPHVXC,S007,2025-10-18 13:33:52,ITEM00941,Groceries,3,149.05,447.15,Cash,m9ofjes9
